mediaID,deploymentID,captureMethod,timestamp,filePath,filePublic,fileName,fileMediatype,exifData,favorite,mediaComments
5f453758-191a-4863-98d7-4f68facf089b,0104d7ae-3fd8-4128-8822-1014abf46221,activityDetection,2020-07-02T20:53:36Z,https://multimedia.agouti.eu/assets/5f453758-191a-4863-98d7-4f68facf089b/file,True,20200804120957-IMG_0098.JPG,image/jpeg,,False,sequenceID:7c2ab77d-b116-4334-9c46-19d941c37ea0
2951a6dd-1b30-4c65-b1f0-b24ec5ff8d01,0104d7ae-3fd8-4128-8822-1014abf46221,activityDetection,2020-07-02T20:54:03Z,https://multimedia.agouti.eu/assets/2951a6dd-1b30-4c65-b1f0-b24ec5ff8d01/file,True,20200804121015-IMG_0137.JPG,image/jpeg,,False,sequenceID:7c2ab77d-b116-4334-9c46-19d941c37ea0
71a37877-6204-435c-9269-d4c9629d029c,0104d7ae-3fd8-4128-8822-1014abf46221,activityDetection,2020-07-02T21:25:31Z,https://multimedia.agouti.eu/assets/71a37877-6204-435c-9269-d4c9629d029c/file,True,20200804121015-IMG_0139.JPG,image/jpeg,,False,sequenceID:980fcfbe-daf5-4ad2-8433-50f6133ca774
b00af297-edbd-448a-987a-46c2a85289d8,0104d7ae-3fd8-4128-8822-1014abf46221,activityDetection,2020-07-02T21:25:36Z,https://multimedia.agouti.eu/assets/b00af297-edbd-448a-987a-46c2a85289d8/file,True,20200804121019-IMG_0147.JPG,image/jpeg,,False,sequenceID:980fcfbe-daf5-4ad2-8433-50f6133ca774
25f9b4bf-4e07-4c1d-afed-8298f80e8e1a,0104d7ae-3fd8-4128-8822-1014abf46221,activityDetection,2020-07-02T22:08:10Z,https://multimedia.agouti.eu/assets/25f9b4bf-4e07-4c1d-afed-8298f80e8e1a/file,True,20200804121019-IMG_0148.JPG,image/jpeg,,False,sequenceID:ff194737-fe68-4b73-9710-b809f233bfbd
223faf86-29e2-4f79-91d7-51d60ddeba1f,0104d7ae-3fd8-4128-8822-1014abf46221,activityDetection,2020-07-02T22:08:15Z,https://multimedia.agouti.eu/assets/223faf86-29e2-4f79-91d7-51d60ddeba1f/file,True,20200804121023-IMG_0156.JPG,image/jpeg,,False,sequenceID:ff194737-fe68-4b73-9710-b809f233bfbd
05e61666-246c-4740-a026-5820a1f7ad6d,0104d7ae-3fd8-4128-8822-1014abf46221,timeLapse,2020-07-02T23:00:00Z,https://multimedia.agouti.eu/assets/05e61666-246c-4740-a026-5820a1f7ad6d/file,True,20200804121024-IMG_0158.JPG,image/jpeg,,False,sequenceID:efeb1198-f36d-4173-8bbc-0a511091d968
d82f16ce-9835-4b73-a84e-6ff070d2a559,0104d7ae-3fd8-4128-8822-1014abf46221,activityDetection,2020-07-03T01:25:44Z,https://multimedia.agouti.eu/assets/d82f16ce-9835-4b73-a84e-6ff070d2a559/file,True,20200804121024-IMG_0159.JPG,image/jpeg,,False,sequenceID:e1e5ea1a-868b-4b58-a093-d24b7fdc89e1
b49aba16-18ca-4cc9-9220-460ddefe81d2,0104d7ae-3fd8-4128-8822-1014abf46221,activityDetection,2020-07-03T01:25:50Z,https://multimedia.agouti.eu/assets/b49aba16-18ca-4cc9-9220-460ddefe81d2/file,True,20200804121028-IMG_0168.JPG,image/jpeg,,False,sequenceID:e1e5ea1a-868b-4b58-a093-d24b7fdc89e1
2ccc3119-c2ef-4860-9100-17464f8a446d,0104d7ae-3fd8-4128-8822-1014abf46221,timeLapse,2020-07-03T11:00:00Z,https://multimedia.agouti.eu/assets/2ccc3119-c2ef-4860-9100-17464f8a446d/file,True,20200804121030-IMG_0169.JPG,image/jpeg,,False,sequenceID:c85459fa-ef2c-49c6-8c5e-0343d5ec8d2d
9f723df6-4252-47ee-a7f6-423367086185,0104d7ae-3fd8-4128-8822-1014abf46221,activityDetection,2020-07-03T22:20:23Z,https://multimedia.agouti.eu/assets/9f723df6-4252-47ee-a7f6-423367086185/file,True,20200804121030-IMG_0170.JPG,image/jpeg,,False,sequenceID:02e9cb32-3849-4663-92ac-fdd5182cdf2b
46ac61f4-116c-45bb-b17f-4b2fdd9e91d4,0104d7ae-3fd8-4128-8822-1014abf46221,activityDetection,2020-07-03T22:20:29Z,https://multimedia.agouti.eu/assets/46ac61f4-116c-45bb-b17f-4b2fdd9e91d4/file,True,20200804121033-IMG_0179.JPG,image/jpeg,,False,sequenceID:02e9cb32-3849-4663-92ac-fdd5182cdf2b
d581d3ab-fba1-46a3-8ed2-25231e388c99,0104d7ae-3fd8-4128-8822-1014abf46221,timeLapse,2020-07-03T23:00:00Z,https://multimedia.agouti.eu/assets/d581d3ab-fba1-46a3-8ed2-25231e388c99/file,True,20200804121034-IMG_0180.JPG,image/jpeg,,False,sequenceID:14c028e0-00b6-41d0-91f3-fce4fa36b676
0eb4dcfd-d846-46c8-876d-4354e5e0b96a,0104d7ae-3fd8-4128-8822-1014abf46221,activityDetection,2020-07-04T03:47:46Z,https://multimedia.agouti.eu/assets/0eb4dcfd-d846-46c8-876d-4354e5e0b96a/file,True,20200804121034-IMG_0181.JPG,image/jpeg,,False,sequenceID:a7ab0d62-48d0-4cdc-afee-0455d3dd7d2e
57464ab4-c374-4482-96a7-37869e050f1e,0104d7ae-3fd8-4128-8822-1014abf46221,activityDetection,2020-07-04T03:47:52Z,https://multimedia.agouti.eu/assets/57464ab4-c374-4482-96a7-37869e050f1e/file,True,20200804121038-IMG_0190.JPG,image/jpeg,,False,sequenceID:a7ab0d62-48d0-4cdc-afee-0455d3dd7d2e
a25fc12f-0be3-473d-a781-76ca5ba32f5b,0104d7ae-3fd8-4128-8822-1014abf46221,activityDetection,2020-07-04T09:01:29Z,https://multimedia.agouti.eu/assets/a25fc12f-0be3-473d-a781-76ca5ba32f5b/file,True,20200804121040-IMG_0191.JPG,image/jpeg,,False,sequenceID:7588cb4a-8b76-4948-ac9e-9d9d11ff3192
